msg,cat,idx
12 12 1 12 1 12 1 1 0,1 1 0 0 0,238544
12 12 1 12 1 1 1 0,1 1 0 0 0,126035
12 1 12 1 12 1 1 0,1 1 0 0 0,7694
12 12 1 12 1 12 1 1 0,1 1 0 0 0,85697
1 12 1 12 12 12 14 14 0,1 1 0 0 0,216431
12 12 1 12 1 12 1 1 0,1 1 0 0 0,224936
12 1 12 1 12 1 1 0,1 1 0 0 0,81566
1 12 1 12 1 12 1 0,1 1 0 0 0,74276
1 12 1 12 12 12 14 14 0,1 1 0 0 0,205253
12 1 12 1 12 1 1 0,1 1 0 0 0,228581
1 12 12 12 12 14 14 0,1 1 0 0 0,26162
1 12 14 14 4 4 0,1 1 0 0 0,29321
12 12 1 12 1 12 1 1 0,1 1 0 0 0,31508
12 12 1 12 1 1 1 0,1 1 0 0 0,154709
1 12 1 12 1 12 1 0,1 1 0 0 0,72332
1 12 12 14 14 14 13 0,1 1 0 0 0,128465
1 12 12 14 14 14 13 0,1 1 0 0 0,129680
12 12 1 12 1 1 1 0,1 1 0 0 0,175364
12 12 1 12 1 12 1 1 0,1 1 0 0 0,137456
12 12 1 12 1 12 1 1 0,1 1 0 0 0,226637
12 12 1 12 1 12 1 1 0,1 1 0 0 0,9395
12 12 1 12 1 1 1 0,1 1 0 0 0,68444
12 12 1 12 1 1 1 0,1 1 0 0 0,206225
12 1 12 1 12 1 1 0,1 1 0 0 0,232469
12 12 1 12 1 12 1 1 0,1 1 0 0 0,174149
12 12 1 12 1 12 1 1 0,1 1 0 0 0,27377
12 12 1 12 1 12 1 1 0,1 1 0 0 0,54350
1 12 12 12 12 14 14 0,1 1 0 0 0,16685
1 12 1 12 1 12 1 0,1 1 0 0 0,40013
12 1 12 1 12 1 1 0,1 1 0 0 0,109511
1 12 12 12 12 14 14 14 0,1 1 0 0 0,156410
12 1 12 1 12 1 1 0,1 1 0 0 0,198935
12 1 12 1 12 1 1 0,1 1 0 0 0,143045
1 12 1 12 12 12 14 14 0,1 1 0 0 0,123362
1 12 12 12 12 14 14 0,1 1 0 0 0,94688
12 12 1 12 1 12 1 1 0,1 1 0 0 0,137456
12 12 1 12 1 1 1 0,1 1 0 0 0,234899
12 12 1 12 1 1 1 0,1 1 0 0 0,101978
12 12 1 12 1 12 1 1 0,1 1 0 0 0,22517
12 12 1 12 1 12 1 1 0,1 1 0 0 0,85211
12 12 1 12 1 1 1 0,1 1 0 0 0,121175
12 12 1 12 1 1 1 0,1 1 0 0 0,3320
12 12 1 12 1 12 1 1 0,1 1 0 0 0,226637
12 12 1 12 1 12 1 1 0,1 1 0 0 0,125792
12 1 12 1 12 1 12 1 0,1 1 0 0 0,66743
12 12 1 12 1 12 1 1 0,1 1 0 0 0,27377
12 1 12 1 12 1 1 0,1 1 0 0 0,42686
12 12 1 12 1 12 1 1 0,1 1 0 0 0,181196
12 12 1 12 1 1 1 0,1 1 0 0 0,3320
12 12 1 12 1 12 1 1 0,1 1 0 0 0,56780
12 12 1 12 1 12 1 1 0,1 1 0 0 0,238544
12 12 1 12 1 1 1 0,1 1 0 0 0,69416
12 1 12 1 12 1 1 1 0,1 1 0 0 0,224450
12 12 1 12 1 12 1 1 0,1 1 0 0 0,197720
12 12 1 12 1 1 1 0,1 1 0 0 0,162728
1 12 12 12 12 14 14 0,1 1 0 0 0,14012
1 12 12 12 14 14 14 0,1 1 0 0 0,44873
12 12 1 12 1 1 1 0,1 1 0 0 0,92987
1 12 12 12 12 14 14 0,1 1 0 0 0,133325
12 12 1 12 1 1 1 0,1 1 0 0 0,175364
12 12 1 12 1 12 1 1 0,1 1 0 0 0,110969
12 9 9 9 9 9 9 0,1 0 1 1 1,49167
12 9 9 9 9 9 9 0,1 0 1 1 1,194481
12 9 9 9 9 9 9 0,1 0 1 1 1,197883
12 9 9 9 9 9 9 0,1 0 1 1 1,81972
12 9 9 9 9 9 9 0,1 0 1 1 1,99711
12 9 9 9 9 9 9 0,1 0 1 1 1,120852
12 9 9 9 9 9 9 0,1 0 1 1 1,32886
12 9 9 9 9 9 9 0,1 0 1 1 1,94851
12 9 9 9 9 9 9 0,1 0 1 1 1,75897
12 9 9 9 9 9 9 0,1 0 1 1 1,159975
12 9 9 9 9 9 9 0,1 0 1 1 1,17577
12 9 9 9 9 9 9 0,1 0 1 1 1,165078
12 9 9 9 9 9 9 0,1 0 1 1 1,225342
12 9 9 9 9 9 9 0,1 0 1 1 1,193752
12 9 9 9 9 9 9 0,1 0 1 1 1,204930
12 9 9 9 9 9 9 0,1 0 1 1 1,60102
12 9 9 9 9 9 9 0,1 0 1 1 1,204687
12 9 9 9 9 9 9 0,1 0 1 1 1,60345
12 9 9 9 9 9 9 0,1 0 1 1 1,212706
12 9 9 9 9 9 9 0,1 0 1 1 1,182817
12 9 9 9 9 9 9 0,1 0 1 1 1,22194
12 9 9 9 9 9 9 0,1 0 1 1 1,145881
12 9 9 9 9 9 9 0,1 0 1 1 1,120852
12 9 9 9 9 9 9 0,1 0 1 1 1,38475
12 9 9 9 9 9 9 0,1 0 1 1 1,187677
12 9 9 9 9 9 9 0,1 0 1 1 1,213921
12 9 9 9 9 9 9 0,1 0 1 1 1,32886
12 9 9 9 9 9 9 0,1 0 1 1 1,135432
12 9 9 9 9 9 9 0,1 0 1 1 1,216594
12 9 9 9 9 9 9 0,1 0 1 1 1,66906
12 9 9 9 9 9 9 0,1 0 1 1 1,179415
12 9 9 9 9 9 9 0,1 0 1 1 1,209061
12 9 9 9 9 9 9 0,1 0 1 1 1,12474
12 9 9 9 9 9 9 0,1 0 1 1 1,80757
12 9 9 9 9 9 9 0,1 0 1 1 1,203715
12 9 9 9 9 9 9 0,1 0 1 1 1,48681
12 9 9 9 9 9 9 0,1 0 1 1 1,237978
12 9 9 9 9 9 9 0,1 0 1 1 1,136161
12 9 9 9 9 9 9 0,1 0 1 1 1,21951
12 9 9 9 9 9 9 0,1 0 1 1 1,96795
12 9 9 9 9 9 9 0,1 0 1 1 1,82458
12 9 9 9 9 9 9 0,1 0 1 1 1,38961
12 9 9 9 9 9 9 0,1 0 1 1 1,213921
12 9 9 9 9 9 9 0,1 0 1 1 1,81972
12 9 9 9 9 9 9 0,1 0 1 1 1,61074
12 9 9 9 9 9 9 0,1 0 1 1 1,22194
12 9 9 9 9 9 9 0,1 0 1 1 1,167751
12 9 9 9 9 9 9 0,1 0 1 1 1,141507
12 9 9 9 4 4 0,1 0 1 1 1,127170
12 9 9 9 9 9 9 0,1 0 1 1 1,208575
12 9 9 9 9 9 9 0,1 0 1 1 1,130329
12 9 9 9 9 9 9 0,1 0 1 1 1,107973
12 9 9 9 9 9 9 0,1 0 1 1 1,219024
12 9 9 9 9 9 9 0,1 0 1 1 1,146367
12 9 9 9 9 9 9 0,1 0 1 1 1,60345
12 9 9 9 9 9 9 0,1 0 1 1 1,175041
12 9 9 9 9 9 9 0,1 0 1 1 1,168480
12 9 9 9 9 9 9 0,1 0 1 1 1,236034
12 9 9 9 9 9 9 0,1 0 1 1 1,38475
12 9 9 9 9 9 9 0,1 0 1 1 1,118908
12 9 9 9 9 9 9 0,1 0 1 1 1,176499
12 9 9 9 9 9 9 0,1 0 1 1 1,223641
12 9 9 9 9 9 9 0,1 0 1 1 1,23652
12 9 9 9 9 9 9 0,1 0 1 1 1,33615
12 9 9 9 9 9 9 0,1 0 1 1 1,97038
12 9 9 9 9 9 9 0,1 0 1 1 1,90963
12 9 9 9 9 9 9 0,1 0 1 1 1,237006
12 9 9 9 9 9 9 0,1 0 1 1 1,194724
12 9 9 9 9 9 9 0,1 0 1 1 1,17091
12 9 9 9 9 9 9 0,1 0 1 1 1,34830
12 9 9 9 9 9 9 0,1 0 1 1 1,227286
12 9 9 9 9 9 9 0,1 0 1 1 1,175770
12 9 9 9 9 9 9 0,1 0 1 1 1,162891
12 9 9 9 9 9 9 0,1 0 1 1 1,146610
12 9 9 9 9 9 9 0,1 0 1 1 1,84888
12 9 9 9 9 9 9 0,1 0 1 1 1,177228
12 9 9 9 9 9 9 0,1 0 1 1 1,208575
12 9 9 9 9 9 9 0,1 0 1 1 1,73224
12 9 9 9 9 9 9 0,1 0 1 1 1,80757
12 9 9 9 9 9 9 0,1 0 1 1 1,66906
12 9 9 9 9 9 9 0,1 0 1 1 1,141993
12 9 9 9 9 9 9 0,1 0 1 1 1,219024
12 9 9 9 9 9 9 0,1 0 1 1 1,44064
12 9 9 9 9 9 9 0,1 0 1 1 1,44064
12 9 9 9 9 9 9 0,1 0 1 1 1,169209
12 9 9 9 9 9 9 0,1 0 1 1 1,150012
12 9 9 9 9 9 9 0,1 0 1 1 1,34830
12 9 9 9 9 9 9 0,1 0 1 1 1,17091
12 9 9 9 9 9 9 0,1 0 1 1 1,156573
12 9 9 9 9 9 9 0,1 0 1 1 1,193752
12 9 9 9 9 9 9 0,1 0 1 1 1,181845
12 9 9 9 9 9 9 0,1 0 1 1 1,12474
12 9 9 9 9 9 9 0,1 0 1 1 1,212949
12 9 9 9 9 9 9 0,1 0 1 1 1,203472
12 9 9 9 9 9 9 0,1 0 1 1 1,28512
12 9 9 9 9 9 9 0,1 0 1 1 1,17577
12 9 9 9 9 9 9 0,1 0 1 1 1,194724
12 9 9 9 9 9 9 0,1 0 1 1 1,98739
12 9 9 9 9 9 9 0,1 0 1 1 1,50625
12 9 9 9 9 9 9 0,1 0 1 1 1,170181
12 9 9 9 9 9 9 0,1 0 1 1 1,165078
12 9 9 9 9 9 9 0,1 0 1 1 1,170181
12 9 9 9 9 9 9 0,1 0 1 1 1,213921
12 9 9 9 9 9 9 0,1 0 1 1 1,178686
12 9 9 9 9 9 9 0,1 0 1 1 1,52326
12 9 9 9 9 9 9 0,1 0 1 1 1,154143
12 9 9 9 9 9 9 0,1 0 1 1 1,224856
12 9 9 9 9 9 9 0,1 0 1 1 1,194481
12 9 9 9 9 9 9 0,1 0 1 1 1,150255
12 9 9 9 9 9 9 0,1 0 1 1 1,106515
12 9 9 9 9 9 9 0,1 0 1 1 1,182817
12 9 9 9 9 9 9 0,1 0 1 1 1,225342
12 9 9 9 9 9 9 0,1 0 1 1 1,167751
12 9 9 9 9 9 9 0,1 0 1 1 1,61317
12 9 9 9 9 9 9 0,1 0 1 1 1,219024
12 9 9 9 9 9 9 0,1 0 1 1 1,61317
12 9 9 9 9 9 9 0,1 0 1 1 1,238464
12 9 9 9 9 9 9 0,1 0 1 1 1,22194
12 9 9 9 9 9 9 0,1 0 1 1 1,78570
12 9 9 9 9 9 9 0,1 0 1 1 1,69093
12 9 9 9 9 9 9 0,1 0 1 1 1,169209
12 9 9 9 9 9 9 0,1 0 1 1 1,48195
12 9 9 9 9 9 9 0,1 0 1 1 1,128385
12 9 9 9 9 9 9 0,1 0 1 1 1,238707
12 9 9 9 9 9 9 0,1 0 1 1 1,180144
12 9 9 9 9 9 9 0,1 0 1 1 1,156573
12 9 9 9 9 9 9 0,1 0 1 1 1,28998
12 9 9 9 9 9 9 0,1 0 1 1 1,81729
12 9 9 9 9 9 9 0,1 0 1 1 1,81
12 9 9 9 9 9 9 0,1 0 1 1 1,33129
12 9 9 9 9 9 9 0,1 0 1 1 1,44307
12 9 9 9 9 9 9 0,1 0 1 1 1,204687
12 9 9 9 9 9 9 0,1 0 1 1 1,152928
12 9 9 9 9 9 9 0,1 0 1 1 1,165078
12 9 9 9 9 9 9 0,1 0 1 1 1,44307
12 9 9 9 9 9 9 0,1 0 1 1 1,28998
12 9 9 9 9 9 9 0,1 0 1 1 1,61803
12 9 9 9 9 9 9 0,1 0 1 1 1,113319
12 9 9 9 9 9 9 0,1 0 1 1 1,169209
12 9 9 9 9 9 9 0,1 0 1 1 1,175041
12 9 9 9 9 9 9 0,1 0 1 1 1,60102
12 9 9 9 9 9 9 0,1 0 1 1 1,175041
12 9 9 9 9 9 9 0,1 0 1 1 1,105786
12 9 9 9 9 9 9 0,1 0 1 1 1,22194
12 9 9 9 9 9 9 0,1 0 1 1 1,180144
12 9 9 9 9 9 9 0,1 0 1 1 1,159975
12 9 9 9 9 9 9 0,1 0 1 1 1,237006
12 9 9 9 9 9 9 0,1 0 1 1 1,81486
12 9 9 9 9 9 9 0,1 0 1 1 1,178686
12 9 9 9 9 9 9 0,1 0 1 1 1,119151
12 9 9 9 9 9 9 0,1 0 1 1 1,15633
12 9 9 9 9 9 9 0,1 0 1 1 1,60345
12 9 9 9 9 9 9 0,1 0 1 1 1,28998
12 9 9 9 9 9 9 0,1 0 1 1 1,32400
12 9 9 9 9 9 9 0,1 0 1 1 1,178686
12 9 9 9 9 9 9 0,1 0 1 1 1,181845
12 9 9 9 9 9 9 0,1 0 1 1 1,238464
12 9 9 9 9 9 9 0,1 0 1 1 1,17577
12 9 9 9 9 9 9 0,1 0 1 1 1,50625
12 9 9 9 9 9 9 0,1 0 1 1 1,212949
12 9 9 9 9 9 9 0,1 0 1 1 1,106515
12 9 9 9 9 9 9 0,1 0 1 1 1,169695
12 9 9 9 9 9 9 0,1 0 1 1 1,113319
12 9 9 9 9 9 9 0,1 0 1 1 1,176013
12 9 9 9 9 9 9 0,1 0 1 1 1,31671
12 9 9 9 9 9 9 0,1 0 1 1 1,48681
12 9 9 9 9 9 9 0,1 0 1 1 1,141993
12 9 9 9 9 9 9 0,1 0 1 1 1,164835
12 9 9 9 9 9 9 0,1 0 1 1 1,219267
12 9 9 9 9 9 9 0,1 0 1 1 1,151713
12 9 9 9 9 9 9 0,1 0 1 1 1,128385
12 9 9 9 9 9 9 0,1 0 1 1 1,183060
12 9 9 9 9 9 9 0,1 0 1 1 1,98739
12 9 9 9 9 9 9 0,1 0 1 1 1,44064
12 9 9 9 9 9 9 0,1 0 1 1 1,135432
12 9 9 9 9 9 9 0,1 0 1 1 1,74682
12 9 9 9 9 9 9 0,1 0 1 1 1,95823
12 9 9 9 9 9 9 0,1 0 1 1 1,216837
12 9 9 9 9 9 9 0,1 0 1 1 1,120852
12 9 9 9 9 9 9 0,1 0 1 1 1,144909
12 9 9 9 9 9 9 0,1 0 1 1 1,87075
12 9 9 9 9 9 9 0,1 0 1 1 1,28512
12 9 9 9 9 9 9 0,1 0 1 1 1,54999
12 9 9 9 9 9 9 0,1 0 1 1 1,167994
12 9 9 9 9 9 9 0,1 0 1 1 1,118908
12 9 9 9 9 9 9 0,1 0 1 1 1,29970
12 9 9 9 9 9 9 0,1 0 1 1 1,187677
12 9 9 9 9 9 9 0,1 0 1 1 1,236763
12 9 9 9 9 9 9 0,1 0 1 1 1,70065
12 9 9 9 9 9 9 0,1 0 1 1 1,86589
12 9 9 9 9 9 9 0,1 0 1 1 1,82458
12 9 9 9 9 9 9 0,1 0 1 1 1,162891
12 9 9 9 9 9 9 0,1 0 1 1 1,183060
12 9 9 9 9 9 9 0,1 0 1 1 1,237492
12 9 9 9 9 9 9 0,1 0 1 1 1,151713
12 9 9 9 9 9 9 0,1 0 1 1 1,108216
12 9 9 9 9 9 9 0,1 0 1 1 1,236034
12 9 9 9 9 9 9 0,1 0 1 1 1,63018
12 9 9 9 9 9 9 0,1 0 1 1 1,74682
12 9 9 9 9 9 9 0,1 0 1 1 1,16605
12 9 9 9 9 9 9 0,1 0 1 1 1,201771
12 9 9 9 9 9 9 0,1 0 1 1 1,32400
12 9 9 9 9 9 9 0,1 0 1 1 1,45036
12 9 9 9 9 9 9 0,1 0 1 1 1,209061
12 9 9 9 9 9 9 0,1 0 1 1 1,37503
12 9 9 9 9 9 9 0,1 0 1 1 1,81
12 9 9 9 4 4 0,1 0 1 1 1,127170
12 9 9 9 9 9 9 0,1 0 1 1 1,187677
12 9 9 9 9 9 9 0,1 0 1 1 1,31671
12 9 9 9 9 9 9 0,1 0 1 1 1,181845
12 9 9 9 9 9 9 0,1 0 1 1 1,151956
12 9 9 9 9 9 9 0,1 0 1 1 1,179415
12 9 9 9 9 9 9 0,1 0 1 1 1,141993
12 9 9 9 9 9 9 0,1 0 1 1 1,187677
12 9 9 9 9 9 9 0,1 0 1 1 1,182088
12 9 9 9 9 9 9 0,1 0 1 1 1,57429
12 9 9 9 9 9 9 0,1 0 1 1 1,100926
12 9 9 9 9 9 9 0,1 0 1 1 1,49167
12 9 9 9 9 9 9 0,1 0 1 1 1,208818
12 9 9 9 9 9 9 0,1 0 1 1 1,114534
12 9 9 9 9 9 9 0,1 0 1 1 1,187677
12 9 9 9 9 9 9 0,1 0 1 1 1,82458
12 9 9 9 9 9 9 0,1 0 1 1 1,150984
12 9 9 9 9 9 9 0,1 0 1 1 1,51840
12 9 9 9 9 9 9 0,1 0 1 1 1,212949
12 9 9 9 9 9 9 0,1 0 1 1 1,167508
12 9 9 9 9 9 9 0,1 0 1 1 1,82458
12 9 9 9 9 9 9 0,1 0 1 1 1,57429
12 9 9 9 4 4 0,1 0 1 1 1,127170
12 9 9 9 9 9 9 0,1 0 1 1 1,81972
12 9 9 9 9 9 9 0,1 0 1 1 1,65205
12 9 9 9 9 9 9 0,1 0 1 1 1,41877
12 9 9 9 9 9 9 0,1 0 1 1 1,182817
12 9 9 9 9 9 9 0,1 0 1 1 1,204687
12 9 9 9 9 9 9 0,1 0 1 1 1,45036
12 9 9 9 9 9 9 0,1 0 1 1 1,176499
12 9 9 9 9 9 9 0,1 0 1 1 1,175041
12 9 9 9 9 9 9 0,1 0 1 1 1,183060
12 9 9 9 9 9 9 0,1 0 1 1 1,175770
12 9 9 9 9 9 9 0,1 0 1 1 1,28512
12 9 9 9 9 9 9 0,1 0 1 1 1,215622
12 9 9 9 9 9 9 0,1 0 1 1 1,168480
12 9 9 9 9 9 9 0,1 0 1 1 1,175041
12 9 9 9 9 9 9 0,1 0 1 1 1,160218
12 9 9 9 9 9 9 0,1 0 1 1 1,138591
12 9 9 9 9 9 9 0,1 0 1 1 1,176985
12 9 9 9 9 9 9 0,1 0 1 1 1,11988
12 9 9 9 9 9 9 0,1 0 1 1 1,191322
12 9 9 9 9 9 9 0,1 0 1 1 1,236034
12 9 9 9 9 9 9 0,1 0 1 1 1,182088
12 9 9 9 9 9 9 0,1 0 1 1 1,60345
12 9 9 9 9 9 9 0,1 0 1 1 1,156573
12 12 12 12 12 11 11 0,1 0 1 1 0,77843
12 12 12 12 12 11 1 0,1 0 1 1 0,109190
12 12 12 12 11 1 0,1 0 1 1 0,32402
12 12 12 12 12 11 1 0,1 0 1 1 0,120368
12 5 5 0,1 0 1 1 0,35561
12 12 12 12 11 11 0,1 0 1 1 0,197642
12 12 12 12 11 1 0,1 0 1 1 0,185249
12 12 12 12 12 1 1 0,1 0 1 1 0,21953
12 12 12 12 12 11 1 0,1 0 1 1 0,209792
12 12 12 12 11 1 0,1 0 1 1 0,29972
12 12 12 12 12 11 1 0,1 0 1 1 0,203474
12 12 12 12 11 11 0,1 0 1 1 0,7616
12 12 12 12 12 11 1 0,1 0 1 1 0,150986
12 12 12 12 12 11 11 0,1 0 1 1 0,57188
12 12 12 5 0,1 0 1 1 0,189623
12 12 12 5 0,1 0 1 1 0,49898
12 12 12 12 12 1 1 0,1 0 1 1 0,90236
12 12 12 12 12 11 0,1 0 1 1 0,187436
12 9 9 9 9 0,1 0 1 1 0,89264
12 12 12 12 12 1 1 0,1 0 1 1 0,100199
12 12 12 12 12 1 1 0,1 0 1 1 0,181604
12 5 5 0,1 0 1 1 0,201044
12 12 12 12 11 11 0,1 0 1 1 0,15392
12 12 12 5 0,1 0 1 1 0,50870
12 12 12 12 12 11 1 0,1 0 1 1 0,24383
12 12 12 12 12 11 1 0,1 0 1 1 0,147584
12 12 12 12 12 11 0,1 0 1 1 0,180146
12 12 12 12 12 1 1 0,1 0 1 1 0,55001
12 5 5 0,1 0 1 1 0,224858
12 12 12 5 0,1 0 1 1 0,138350
12 5 0,1 0 1 1 0,141023
12 12 5 0,1 0 1 1 0,78572
12 12 12 12 5 0,1 0 1 1 0,95582
12 12 12 12 5 0,1 0 1 1 0,95582
12 12 12 12 12 11 1 0,1 0 1 1 0,20495
12 12 12 12 12 11 1 0,1 0 1 1 0,226802
12 12 12 12 12 1 1 0,1 0 1 1 0,94367
12 12 12 12 12 11 0,1 0 1 1 0,91208
12 12 12 12 12 1 1 0,1 0 1 1 0,135920
12 12 12 12 12 11 1 0,1 0 1 1 0,229475
12 12 12 12 12 1 1 0,1 0 1 1 0,40421
12 12 5 0,1 0 1 1 0,178931
12 12 12 5 0,1 0 1 1 0,9560
12 12 12 12 5 0,1 0 1 1 0,159491
12 12 12 12 12 1 1 0,1 0 1 1 0,49412
12 12 12 12 12 1 1 0,1 0 1 1 0,193997
12 12 12 5 0,1 0 1 1 0,228989
12 12 5 0,1 0 1 1 0,98012
12 12 12 12 12 1 1 0,1 0 1 1 0,96068
12 12 12 12 12 1 1 0,1 0 1 1 0,205661
12 12 12 12 12 1 1 0,1 0 1 1 0,6158
12 12 12 12 12 11 1 0,1 0 1 1 0,241868
12 12 12 12 12 11 11 0,1 0 1 1 0,62777
12 12 12 12 12 1 1 0,1 0 1 1 0,87320
12 12 12 12 12 1 1 0,1 0 1 1 0,231419
12 12 12 5 11 0,1 0 1 1 0,134948
12 12 12 12 11 11 0,1 0 1 1 0,119153
12 12 12 5 0,1 0 1 1 0,172613
12 12 12 12 5 0,1 0 1 1 0,218540
12 12 12 12 12 11 1 0,1 0 1 1 0,44795
12 12 12 12 12 11 1 0,1 0 1 1 0,237251
12 12 12 12 12 11 1 0,1 0 1 1 0,52328
12 12 12 12 12 11 1 0,1 0 1 1 0,147584
12 12 12 12 11 1 0,1 0 1 1 0,185249
12 12 12 12 11 11 0,1 0 1 1 0,223157
12 12 12 12 12 1 1 0,1 0 1 1 0,193997
12 12 12 12 12 11 11 0,1 0 1 1 0,29243
12 12 12 12 11 1 0,1 0 1 1 0,152444
12 12 12 5 11 0,1 0 1 1 0,168725
12 12 12 12 11 11 0,1 0 1 1 0,223157
12 12 12 12 12 1 1 0,1 0 1 1 0,234335
12 12 12 12 12 1 1 0,1 0 1 1 0,180632
12 5 5 0,1 0 1 1 0,124742
12 12 12 12 12 1 1 0,1 0 1 1 0,213194
12 12 12 5 0,1 0 1 1 0,173585
12 12 12 12 12 11 1 0,1 0 1 1 0,205418
12 12 12 12 11 0,1 0 1 1 0,53786
12 12 12 12 12 11 1 0,1 0 1 1 0,91694
12 12 12 12 12 11 1 0,1 0 1 1 0,16850
12 12 12 12 12 1 1 0,1 0 1 1 0,41150
12 12 12 12 12 1 1 0,1 0 1 1 0,234335
12 5 0,1 0 1 1 0,154874
12 12 12 12 11 11 0,1 0 1 1 0,57917
12 12 12 12 12 1 1 0,1 0 1 1 0,225344
12 12 5 0,1 0 1 1 0,196427
12 5 0,1 0 1 1 0,207605
12 12 12 12 12 11 0,1 0 1 1 0,206633
12 12 12 12 5 0,1 0 1 1 0,219026
12 12 5 0,1 0 1 1 0,183062
12 12 5 5 0,1 0 1 1 0,51113
12 12 12 5 0,1 0 1 1 0,147098
12 12 12 12 5 0,1 0 1 1 0,230933
12 12 12 12 12 11 0,1 0 1 1 0,70796
12 12 5 0,1 0 1 1 0,15878
12 12 12 5 0,1 0 1 1 0,239195
12 12 12 12 12 1 1 0,1 0 1 1 0,66908
12 12 5 0,1 0 1 1 0,61805
12 12 12 12 12 1 1 0,1 0 1 1 0,100685
12 12 12 12 12 1 1 0,1 0 1 1 0,5186
12 12 5 0,1 0 1 1 0,94853
12 12 12 12 5 0,1 0 1 1 0,121826
12 12 12 12 12 1 1 0,1 0 1 1 0,153416
12 12 12 12 5 0,1 0 1 1 0,28271
12 12 12 12 12 1 1 0,1 0 1 1 0,1541
12 12 12 12 11 0,1 0 1 1 0,101900
12 12 12 12 12 1 1 0,1 0 1 1 0,84890
12 12 12 12 12 11 0,1 0 1 1 0,70553
12 12 12 12 12 1 1 0,1 0 1 1 0,25841
12 12 12 12 12 11 0,1 0 1 1 0,54029
12 12 12 12 12 11 1 0,1 0 1 1 0,37505
12 12 12 12 11 1 0,1 0 1 1 0,29972
12 12 12 12 12 1 1 0,1 0 1 1 0,136163
12 12 12 12 12 1 1 0,1 0 1 1 0,182333
12 12 12 5 0,1 0 1 1 0,208820
12 12 12 12 11 11 0,1 0 1 1 0,112349
12 12 12 12 11 11 0,1 0 1 1 0,125228
12 12 12 5 0,1 0 1 1 0,77357
12 12 12 12 12 1 1 0,1 0 1 1 0,40421
12 12 12 12 11 11 0,1 0 1 1 0,190109
12 12 12 12 5 0,1 0 1 1 0,60104
12 12 12 5 0,1 0 1 1 0,25598
12 12 12 12 12 1 1 0,1 0 1 1 0,5186
12 12 12 5 0,1 0 1 1 0,214652
12 5 5 0,1 0 1 1 0,219755
12 12 12 12 12 1 1 0,1 0 1 1 0,187679
12 12 12 12 11 0,1 0 1 1 0,149042
12 12 5 0,1 0 1 1 0,105302
12 12 12 12 12 11 0,1 0 1 1 0,177716
12 12 12 12 12 1 1 0,1 0 1 1 0,176258
12 12 12 12 5 0,1 0 1 1 0,136649
12 12 12 12 12 11 11 0,1 0 1 1 0,229232
12 12 12 12 12 1 1 0,1 0 1 1 0,140780
12 12 12 12 12 11 1 0,1 0 1 1 0,120854
12 12 12 12 12 1 1 0,1 0 1 1 0,26084
12 12 12 12 12 1 1 0,1 0 1 1 0,182333
12 12 12 12 12 11 0,1 0 1 1 0,154145
12 12 12 12 11 0,1 0 1 1 0,130574
12 12 12 12 11 11 0,1 0 1 1 0,13205
12 12 12 12 12 1 1 0,1 0 1 1 0,103358
12 12 12 12 12 1 1 0,1 0 1 1 0,84890
12 12 12 12 12 11 1 0,1 0 1 1 0,212465
12 12 12 12 12 11 0,1 0 1 1 0,228746
12 12 9 0,1 0 1 1 0,126929
12 12 12 12 12 11 1 0,1 0 1 1 0,215381
12 12 5 0,1 0 1 1 0,69824
12 12 12 12 5 0,1 0 1 1 0,219026
12 12 12 12 12 1 1 0,1 0 1 1 0,207119
12 12 12 12 11 1 0,1 0 1 1 0,133976
12 12 12 12 12 1 1 0,1 0 1 1 0,5186
12 12 12 12 12 1 1 0,1 0 1 1 0,29000
12 12 12 12 12 11 1 0,1 0 1 1 0,44795
12 12 12 12 12 1 1 0,1 0 1 1 0,50384
12 12 12 12 12 11 0,1 0 1 1 0,177716
12 12 12 12 11 0,1 0 1 1 0,200072
12 12 12 12 12 11 1 0,1 0 1 1 0,120368
12 12 12 12 12 1 1 0,1 0 1 1 0,102386
12 12 5 5 0,1 0 1 1 0,77114
12 12 12 12 12 1 1 0,1 0 1 1 0,32645
12 12 12 12 12 11 0,1 0 1 1 0,228746
12 12 12 12 12 11 0,1 0 1 1 0,111863
12 5 5 0,1 0 1 1 0,132761
12 12 12 12 11 0,1 0 1 1 0,117209
12 12 12 12 11 11 0,1 0 1 1 0,54515
12 12 12 12 12 1 1 0,1 0 1 1 0,82217
12 12 12 5 0,1 0 1 1 0,64721
12 12 12 12 12 1 1 0,1 0 1 1 0,59618
12 12 12 12 11 11 0,1 0 1 1 0,145397
12 12 12 12 12 11 1 0,1 0 1 1 0,31430
12 12 12 5 0,1 0 1 1 0,25598
12 12 12 12 12 1 1 0,1 0 1 1 0,227045
12 12 12 12 12 1 1 0,1 0 1 1 0,40421
12 12 12 5 0,1 0 1 1 0,228503
12 12 12 12 12 11 0,1 0 1 1 0,54029
12 12 12 12 12 1 1 0,1 0 1 1 0,160706
12 12 5 0,1 0 1 1 0,178931
12 12 12 5 0,1 0 1 1 0,189623
12 12 12 12 12 11 1 0,1 0 1 1 0,221942
12 12 12 12 12 1 1 0,1 0 1 1 0,17093
12 12 12 12 12 1 1 0,1 0 1 1 0,95339
12 12 9 9 0,1 0 1 1 0,129359
12 12 12 12 12 11 0,1 0 1 1 0,124499
12 12 12 12 12 11 11 0,1 0 1 1 0,17822
12 12 12 5 0,1 0 1 1 0,113564
